Date,Productivity,Inflation
3/31/1952,3.6,3.7
6/30/1952,3.1,3.8
9/30/1952,3.6,3
12/31/1952,3.2,2.7
3/31/1953,3.3,2.6
6/30/1953,3.4,2.1
9/30/1953,3.4,1.9
12/31/1953,3.3,2.2
3/31/1954,3.1,2.5
6/30/1954,3,2.4
9/30/1954,2.9,2.3
12/31/1954,3.3,2.5
3/31/1955,3,2.5
6/30/1955,2.8,2.3
9/30/1955,2.4,2
12/31/1955,2.3,1.4
3/31/1956,2.1,0.8
6/30/1956,2.2,1
9/30/1956,1.8,1
12/31/1956,1.9,0.8
3/31/1957,2,1.1
6/30/1957,2,1.2
9/30/1957,2.4,1.2
12/31/1957,2,1.2
3/31/1958,1.6,1.6
6/30/1958,1.9,1.5
9/30/1958,2.2,1.4
12/31/1958,2.6,1.4
3/31/1959,2.6,1.4
6/30/1959,2.7,1.6
9/30/1959,2.3,1.8
12/31/1959,2,1.9
3/31/1960,2.1,1.9
6/30/1960,1.7,2.1
9/30/1960,1.8,1.9
12/31/1960,1.6,2.1
3/31/1961,2.1,2.1
6/30/1961,2.5,1.8
9/30/1961,2.9,1.8
12/31/1961,2.8,1.7
3/31/1962,2.9,1.6
6/30/1962,2.9,1.5
9/30/1962,3,1.4
12/31/1962,3.1,1.4
3/31/1963,3.4,1.2
6/30/1963,3.2,1.1
9/30/1963,3.3,1.2
12/31/1963,2.9,1.3
3/31/1964,3,1.3
6/30/1964,3,1.3
9/30/1964,3.1,1.2
12/31/1964,3,1.2
3/31/1965,2.8,1.3
6/30/1965,3.2,1.3
9/30/1965,3.5,1.3
12/31/1965,4.2,1.3
3/31/1966,4.2,1.5
6/30/1966,3.5,1.7
9/30/1966,3.2,1.7
12/31/1966,3.2,1.9
3/31/1967,3,1.9
6/30/1967,3.2,2
9/30/1967,2.9,2
12/31/1967,2.8,2.2
3/31/1968,3.2,2.4
6/30/1968,3.3,2.5
9/30/1968,2.8,2.7
12/31/1968,2.7,2.8
3/31/1969,2.8,3.2
6/30/1969,2.5,3.4
9/30/1969,2.3,3.6
12/31/1969,2.4,3.9
3/31/1970,2.2,4.1
6/30/1970,2.4,4.2
9/30/1970,2.3,4.4
12/31/1970,1.7,4.6
3/31/1971,2.1,4.5
6/30/1971,2.3,4.6
9/30/1971,2.4,4.5
12/31/1971,2.1,4.6
3/31/1972,2.2,4.6
6/30/1972,2.6,4.6
9/30/1972,2.6,4.6
12/31/1972,2.7,4.6
3/31/1973,2.7,4.8
6/30/1973,2.5,5
9/30/1973,2.3,5.2
12/31/1973,2.2,5.4
3/31/1974,2,5.8
6/30/1974,2.1,6
9/30/1974,1.9,6.4
12/31/1974,2.2,6.6
3/31/1975,2.3,6.6
6/30/1975,2.3,6.7
9/30/1975,2.2,6.9
12/31/1975,2.4,6.9
3/31/1976,2.1,6.9
6/30/1976,2.3,6.9
9/30/1976,2.1,7.1
12/31/1976,2.4,7.2
3/31/1977,2.2,7.5
6/30/1977,1.8,7.8
9/30/1977,1.9,7.8
12/31/1977,1.5,7.9
3/31/1978,1.1,7.9
6/30/1978,1.5,8.1
9/30/1978,1.7,8
12/31/1978,1.9,7.9
3/31/1979,1.8,7.9
6/30/1979,1.8,8.1
9/30/1979,2,8.1
12/31/1979,1.8,8.1
3/31/1980,1.7,8.7
6/30/1980,1.2,9.1
9/30/1980,1,9
12/31/1980,1.2,9.2
3/31/1981,1.2,9.6
6/30/1981,0.8,9.8
9/30/1981,0.9,10.1
12/31/1981,0.6,10.1
3/31/1982,0.4,9.7
6/30/1982,0.3,9.8
9/30/1982,0.2,9.8
12/31/1982,0.6,9.5
3/31/1983,0.8,9.1
6/30/1983,0.9,8.8
9/30/1983,1,8.7
12/31/1983,0.9,8.4
3/31/1984,1.2,8
6/30/1984,1.4,7.5
9/30/1984,1.5,7.1
12/31/1984,1.5,6.5
3/31/1985,1.5,5.8
6/30/1985,1.8,5.4
9/30/1985,1.9,5.2
12/31/1985,1.8,4.8
3/31/1986,1.7,4.2
6/30/1986,2.2,3.9
9/30/1986,2.1,3.4
12/31/1986,2.2,3.3
3/31/1987,2.2,3.5
6/30/1987,2.4,3.2
9/30/1987,2.3,3.3
12/31/1987,2.4,3.4
3/31/1988,2.2,3.5
6/30/1988,1.8,3.5
9/30/1988,1.7,3.5
12/31/1988,1.7,3.5
3/31/1989,1.6,3.6
6/30/1989,1.6,3.7
9/30/1989,1.6,3.5
12/31/1989,1.5,3.7
3/31/1990,1.7,3.9
6/30/1990,1.8,3.8
9/30/1990,1.6,4.1
12/31/1990,1.3,4.1
3/31/1991,1.1,4.4
6/30/1991,1.3,4.4
9/30/1991,1.3,4.5
12/31/1991,1.5,4.5
3/31/1992,2,4.4
6/30/1992,2,4.3
9/30/1992,2.2,4.2
12/31/1992,2.1,4.2
3/31/1993,1.9,4.3
6/30/1993,1.7,4.1
9/30/1993,1.7,3.9
12/31/1993,1.8,3.9
3/31/1994,1.8,3.8
6/30/1994,1.8,3.6
9/30/1994,1.5,3.6
12/31/1994,1.8,3.5
3/31/1995,1.6,3.3
6/30/1995,1.5,3.3
9/30/1995,1.5,2.9
12/31/1995,1.8,2.8
3/31/1996,1.9,2.9
6/30/1996,1.7,2.9
9/30/1996,1.6,2.8
12/31/1996,1.5,2.8
3/31/1997,1.1,2.8
6/30/1997,1.2,2.7
9/30/1997,1.2,2.7
12/31/1997,1.2,2.6
3/31/1998,1.5,2.5
6/30/1998,1.7,2.5
9/30/1998,1.9,2.4
12/31/1998,2,2.4
3/31/1999,2.2,2.3
6/30/1999,2.2,2.3
9/30/1999,2.5,2.4
12/31/1999,2.6,2.4
3/31/2000,2.6,2.5
6/30/2000,2.9,2.5
9/30/2000,2.9,2.5
12/31/2000,3,2.5
3/31/2001,2.8,2.5
6/30/2001,2.9,2.6
9/30/2001,3,2.5
12/31/2001,3.2,2.2
3/31/2002,3.7,2.2
6/30/2002,3.4,2.3
9/30/2002,3.4,2.3
12/31/2002,3.3,2.3
3/31/2003,3.4,2.6
6/30/2003,3.5,2.4
9/30/2003,3.7,2.5
12/31/2003,3.8,2.4
3/31/2004,3.4,2.6
6/30/2004,3.6,2.7
9/30/2004,3.4,2.5
12/31/2004,3.2,2.5
3/31/2005,3.5,2.5
6/30/2005,3.1,2.4
9/30/2005,3.2,2.7
12/31/2005,3,2.5
3/31/2006,3.2,2.5
6/30/2006,2.9,2.7
9/30/2006,2.7,2.6
12/31/2006,2.6,2.7
3/31/2007,2.2,2.8
6/30/2007,2.3,3
9/30/2007,2.3,2.9
12/31/2007,2.5,3
3/31/2008,2.1,3
6/30/2008,2.1,3.6
9/30/2008,1.7,3.4
12/31/2008,1.4,2.7
3/31/2009,1.6,2.6
6/30/2009,1.8,2.6
9/30/2009,2,2.6
12/31/2009,2.3,2.6
3/31/2010,2.1,2.4
6/30/2010,2.2,2.3
9/30/2010,2.2,1.9
12/31/2010,2.2,2.2
3/31/2011,1.9,2.3
6/30/2011,2,2.2
9/30/2011,2,2.3
12/31/2011,1.9,2.3
3/31/2012,2,2.2
6/30/2012,2,2
9/30/2012,1.7,2.1
12/31/2012,1.5,1.8
3/31/2013,1.8,1.7
6/30/2013,1.5,1.3
9/30/2013,1.5,1.4
12/31/2013,1.8,2.1
3/31/2014,1.4,2.1
6/30/2014,1.2,2
9/30/2014,1.1,2
12/31/2014,0.7,1.7
3/31/2015,0.8,1.6
6/30/2015,0.9,1.8
9/30/2015,0.8,1.7
12/31/2015,0.6,1.5
3/31/2016,0.8,1.3
6/30/2016,0.7,1.3
9/30/2016,0.9,1.2
12/31/2016,0.9,1.4
3/31/2017,0.9,1.2
6/30/2017,0.7,1.3
9/30/2017,0.9,1.3
12/31/2017,1.1,1.4
3/31/2018,1.1,1.4
6/30/2018,1.2,1.5
9/30/2018,1.1,1.5
12/31/2018,1,1.5
3/31/2019,1.4,1.5
6/30/2019,1.3,1.5
9/30/2019,1.1,1.5
12/31/2019,1.3,1.8
3/31/2020,1.1,1.8
6/30/2020,1.5,1.6
9/30/2020,1.7,1.8
12/31/2020,1.6,1.9
3/31/2021,1.8,2.2
